Timestamp_ns,Timestamp_sec,Motor_Position,Motor_Velocity,Motor_Current_mA,Serial_ESP_Data,OptoForce_Fx,OptoForce_Fy,OptoForce_Fz
1749025017543910698,1749025017.5439107,,,,-8212.0,,,
1749025017548159794,1749025017.5481598,,,,-8212.0,-0.05927682276229994,0.0,0.2469135802469136
1749025017557768538,1749025017.5577683,,,,-8212.0,-0.0889152341434499,0.0,0.4938271604938272
1749025017567970797,1749025017.5679708,,,,-8212.0,-0.0889152341434499,0.0,0.0
1749025017579062768,1749025017.5790627,,,,-8212.0,-0.0889152341434499,0.0,0.7407407407407408
1749025017588581696,1749025017.5885816,,,,-8212.0,-0.05927682276229994,-0.02808199943836001,0.7407407407407408
1749025017598436841,1749025017.5984368,,,,-8212.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017607872658,1749025017.6078727,,,,-8212.0,-0.05927682276229994,-0.02808199943836001,0.4938271604938272
1749025017618051589,1749025017.6180515,,,,-8212.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017623938682,1749025017.6239386,-136837,0,0.0,-8212.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017627964843,1749025017.627965,-136837,0,0.0,-8212.0,-0.05927682276229994,-0.02808199943836001,0.4938271604938272
1749025017636903177,1749025017.6369033,-136837,0,0.0,-8227.0,-0.05927682276229994,-0.02808199943836001,0.4938271604938272
1749025017638389827,1749025017.6383898,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017648077143,1749025017.648077,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017658583283,1749025017.6585834,-136837,0,0.0,-8227.0,-0.05927682276229994,-0.02808199943836001,0.4938271604938272
1749025017668736931,1749025017.668737,-136837,0,0.0,-8227.0,-0.05927682276229994,-0.02808199943836001,0.0
1749025017678747544,1749025017.6787477,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.02808199943836001,0.0
1749025017688600385,1749025017.6886003,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.02808199943836001,0.0
1749025017698278412,1749025017.6982784,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.02808199943836001,0.2469135802469136
1749025017707935557,1749025017.7079356,-136837,0,0.0,-8227.0,-0.05927682276229994,-0.02808199943836001,0.9876543209876544
1749025017717865154,1749025017.7178652,-136837,0,0.0,-8227.0,-0.0889152341434499,-0.05616399887672002,0.9876543209876544
1749025017727943164,1749025017.7279432,-136837,0,0.0,-8227.0,-0.05927682276229994,-0.02808199943836001,0.7407407407407408
1749025017729100510,1749025017.7291005,-136837,0,0.0,-8189.0,-0.05927682276229994,-0.02808199943836001,0.7407407407407408
1749025017735841137,1749025017.735841,-136836,0,0.0,-8189.0,-0.05927682276229994,-0.02808199943836001,0.7407407407407408
1749025017737855789,1749025017.7378557,-136836,0,0.0,-8189.0,-0.0889152341434499,-0.02808199943836001,0.4938271604938272
1749025017747796561,1749025017.7477965,-136836,0,0.0,-8189.0,-0.0889152341434499,-0.02808199943836001,0.7407407407407408
1749025017757928000,1749025017.757928,-136836,0,0.0,-8189.0,-0.05927682276229994,-0.02808199943836001,0.9876543209876544
1749025017768733481,1749025017.7687335,-136836,0,0.0,-8189.0,-0.05927682276229994,0.0,1.234567901234568
1749025017778742278,1749025017.7787423,-136836,0,0.0,-8189.0,-0.05927682276229994,0.0,0.4938271604938272
